TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Days,Years
117017,Planning Code 138.1 required,Metrosideros excelsa :: New Zealand Xmas Tree,168 Hyde St,1.0,Sidewalk: Curb side : Cutout,Private,2016-05-17 00:00:00,3,3x3,37.78225418,-122.415528,2822,7.7315068493150685
158242,DPW Maintained,Agonis flexuosa :: Peppermint Willow,225 Bemis St,4.0,Sidewalk: Curb side : Cutout,Private,2018-01-22 00:00:00,3,3x3,37.73643034,-122.4315437,2207,6.046575342465753
31354,DPW Maintained,Leptospermum scoparium :: New Zealand Tea Tree,2324 14th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1995-04-21 00:00:00,6,,37.74460611,-122.4702433,10519,28.81917808219178
39246,Planning Code 138.1 required,Arbutus 'Marina' :: Hybrid Strawberry Tree,3524 Jackson St,2.0,Sidewalk: Curb side : Cutout,Private,2002-08-22 00:00:00,1,,37.79019989,-122.4529105,7839,21.476712328767125
89094,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,543 18th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2008-03-20 00:00:00,3,3x3,37.7776644,-122.4771185,5802,15.895890410958904
103095,Section 806 (d),Fagus sylvatica :: European Beech,1540 Jones St,5.0,Sidewalk: Curb side : Cutout,Private,2013-03-20 00:00:00,3,3x3,37.79569033,-122.4148858,3976,10.893150684931507
65270,DPW Maintained,Lophostemon confertus :: Brisbane Box,632 Commercial St,1.0,Sidewalk: Curb side : Cutout,Private,1989-08-14 00:00:00,7,,37.79416831,-122.4036588,12595,34.50684931506849
29500,DPW Maintained,Lophostemon confertus :: Brisbane Box,1750X Ingalls St,3.0,Sidewalk: Curb side : Cutout,DPW,2006-02-28 00:00:00,8,3X3,37.72812029,-122.3849621,6553,17.953424657534246
91967,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1372 09th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2009-02-20 00:00:00,3,3x3,37.76269828,-122.4661478,5465,14.972602739726028
34626,DPW Maintained,Acacia baileyana :: Bailey's Acacia,1474 24th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1997-07-28 00:00:00,0,,37.76008592,-122.4821654,9690,26.54794520547945
84662,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,4010 24th St,1.0,Sidewalk: Curb side : Cutout,Private,2012-12-27 00:00:00,5,3x3,37.75149155,-122.4321621,4059,11.12054794520548
22781,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1860 Turk St,1.0,Sidewalk: Curb side : Cutout,DPW,1997-03-21 00:00:00,6,3X3,37.77959467,-122.4398005,9819,26.9013698630137
67660,DPW Maintained,Prunus cerasifera :: Cherry Plum,37 Lucy St,1.0,Sidewalk: Curb side : Cutout,Private,1992-11-05 00:00:00,6,,37.73022206,-122.3933086,11416,31.276712328767122
6809,DPW Maintained,Hymenosporum flavum :: Sweetshade,1400X Fairfax Ave,1.0,Sidewalk: Curb side : Cutout,Fire Dept,2000-12-19 00:00:00,6,3X3,37.74039397,-122.385361,8450,23.15068493150685
6550,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,1225X Evans Ave,7.0,Sidewalk: Curb side : Cutout,DPW,2013-03-28 00:00:00,3,4x4,37.7389388,-122.3815695,3968,10.871232876712329
24515,DPW Maintained,Lophostemon confertus :: Brisbane Box,2030 Fell St,1.0,Sidewalk: Curb side : Cutout,DPW,2016-04-07 07:40:00,3,3X3,37.77238102,-122.4513341,2861,7.838356164383562
265550,DPW Maintained,Melaleuca quinquenervia :: Cajeput,2000 Carroll Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2021-03-30 00:00:00,3,3x3,37.7293785,-122.4008662,1044,2.8602739726027395
66146,DPW Maintained,Photinia fraseri :: Photinia: Chinese photinia,1870 Jefferson St,1.0,Sidewalk: Curb side : Cutout,Private,1990-08-20 00:00:00,7,,37.80477279,-122.4432302,12224,33.49041095890411
104834,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1202X Arguello Blvd,1.0,Median : Cutout,DPW,2014-05-27 00:00:00,1,1x4,37.76565788,-122.4575258,3543,9.706849315068494
93712,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1200 Silver Ave,3.0,Sidewalk: Curb side : Cutout,Private,2010-03-22 00:00:00,2,3x3,37.7302979,-122.4120482,5070,13.89041095890411
97690,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,290X Granada Ave,3.0,Sidewalk: Curb side : Cutout,DPW,2003-04-01 00:00:00,15,3x3,37.72380785,-122.4570903,7617,20.86849315068493
24821,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',400X Alemany Blvd,13.0,Sidewalk: Curb side : Cutout,DPW,2006-03-06 00:00:00,12,3x3,37.73276839,-122.4151029,6547,17.936986301369863
113508,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,203 WILLOW ST,1.0,Sidewalk: Curb side : Cutout,DPW,2016-02-02 10:06:00,3,4x4,37.78315353,-122.4212819,2926,8.016438356164384
173775,Planning Code 138.1 required,Jacaranda mimosifolia :: Jacaranda,1057 Florida St,1.0,Sidewalk: Curb side : Cutout,Private,2018-02-26 00:00:00,3,4x4,37.75503784,-122.4102174,2172,5.950684931506849
